track_id,name,artist,tags,genre,playcount,text
TRCOFIC128F93173C1,Collect Call,Metric,"indie, female_vocalists, indie_rock, mellow",Rock,1.0,"Metric indie, female_vocalists, indie_rock, mellow Rock"
TRQVGZA128EF3453B5,Armchairs,Andrew Bird,"indie, folk, singer_songwriter, piano, indie_pop, beautiful, mellow, chill",Rock,1.0,"Andrew Bird indie, folk, singer_songwriter, piano, indie_pop, beautiful, mellow, chill Rock"
TRQERAH128F1486DEA,Brandenburg,Beirut,"alternative, indie, experimental, folk",,1.0,"Beirut alternative, indie, experimental, folk "
TRWEKZA128F429EB4F,Sing Me Spanish Techno,The New Pornographers,"indie, indie_rock, indie_pop",Rock,1.0,"The New Pornographers indie, indie_rock, indie_pop Rock"
TRLIWPE12903CE91C4,Swim Until You Can't See Land,Frightened Rabbit,"indie, indie_rock, indie_pop, mellow",,1.0,"Frightened Rabbit indie, indie_rock, indie_pop, mellow "
TRMVWMZ128F92F23AC,I Can't Stay,The Killers,"rock, alternative, indie, alternative_rock, indie_rock",Rock,1.0,"The Killers rock, alternative, indie, alternative_rock, indie_rock Rock"
TRLYVQS128F429EA2F,Mystery Hours,The New Pornographers,"indie, indie_rock, indie_pop, 00s, pop_rock",Rock,1.0,"The New Pornographers indie, indie_rock, indie_pop, 00s, pop_rock Rock"
TRQPJRL128F930F4B6,My Maudlin Career,Camera Obscura,"indie, female_vocalists, piano",,1.0,"Camera Obscura indie, female_vocalists, piano "
TRDAOOB128F932E752,Dollars & Cents,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, british, psychedelic, 00s",Rock,1.0,"Radiohead rock, electronic, alternative, indie, alternative_rock, experimental, british, psychedelic, 00s Rock"
TRZUIIA128F425DDA5,Friend of the Night,Mogwai,"indie, instrumental, post_rock, piano, beautiful",Rock,1.0,"Mogwai indie, instrumental, post_rock, piano, beautiful Rock"
TRGTUUE128F9310C99,Prove Yourself,Radiohead,"rock, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, britpop",Rock,1.0,"Radiohead rock, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, britpop Rock"
TRXGMWP128E078253B,Thinking About You,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, acoustic, love, beautiful, britpop, mellow",Rock,1.0,"Radiohead rock, alternative, indie, alternative_rock, indie_rock, british, 90s, acoustic, love, beautiful, britpop, mellow Rock"
TRHBGXU128F9310DB3,Punchdrunk Lovesick Singalong,Radiohead,"rock, alternative, alternative_rock, progressive_rock, british, 90s, love, britpop, mellow",Rock,1.0,"Radiohead rock, alternative, alternative_rock, progressive_rock, british, 90s, love, britpop, mellow Rock"
TRFHJOI128EF34BFAF,Liebe zu dritt,Stereo Total,"pop, german, french",Pop,1.0,"Stereo Total pop, german, french Pop"
TRWTKZY128F4241A9D,Plain Parade,The Cardigans,"rock, indie, indie_pop, swedish",Rock,1.0,"The Cardigans rock, indie, indie_pop, swedish Rock"
TRJDWKM128E07817F1,Backdrifts,Radiohead,"electronic, alternative, indie, alternative_rock, experimental, british, britpop, mellow, avant_garde",Rock,1.0,"Radiohead electronic, alternative, indie, alternative_rock, experimental, british, britpop, mellow, avant_garde Rock"
TRQOOUE128E078253D,Ripcord,Radiohead,"rock, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, grunge, britpop",Rock,1.0,"Radiohead rock, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, grunge, britpop Rock"
TRESMVD128F9310D57,(Nice Dream),Radiohead,"rock, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, acoustic, beautiful, britpop, mellow",Rock,1.0,"Radiohead rock, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, acoustic, beautiful, britpop, mellow Rock"
TRRAKNM128F9310CE5,Coke Babies,Radiohead,"alternative, alternative_rock, downtempo, grunge",Rock,1.0,"Radiohead alternative, alternative_rock, downtempo, grunge Rock"
TRRUIKN128E078218F,Climbing Up the Walls,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, british, chillout, 90s, beautiful, britpop",Rock,1.0,"Radiohead rock, electronic, alternative, indie, alternative_rock, experimental, british, chillout, 90s, beautiful, britpop Rock"
TRTMZAT128F932E754,Like Spinning Plates,Radiohead,"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, british, psychedelic, beautiful, britpop",Rock,1.0,"Radiohead rock, electronic, alternative, indie, alternative_rock, ambient, experimental, british, psychedelic, beautiful, britpop Rock"
TRJSEXD128F423DBC4,Weird Fishes/Arpeggi,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, beautiful, 00s",,1.0,"Radiohead rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, beautiful, 00s "
TRJNDPV128F4241A97,Pooh Song,The Cardigans,"rock, alternative, female_vocalists, swedish",Rock,1.0,"The Cardigans rock, alternative, female_vocalists, swedish Rock"
TRBWLJL128F9345D0A,Weird Desire,Alice in Videoland,"electronic, synthpop",,1.0,"Alice in Videoland electronic, synthpop "
TRRKHST12903CBA693,Factory Girl,The Rolling Stones,"rock, classic_rock, folk, hard_rock, blues, acoustic, 60s, blues_rock",Pop,1.0,"The Rolling Stones rock, classic_rock, folk, hard_rock, blues, acoustic, 60s, blues_rock Pop"
TRUHUNN128F92E58B5,Hard Sun,Eddie Vedder,"rock, alternative, alternative_rock, folk, singer_songwriter, soundtrack, acoustic, grunge, cover",Rock,1.0,"Eddie Vedder rock, alternative, alternative_rock, folk, singer_songwriter, soundtrack, acoustic, grunge, cover Rock"
TRFFIIC128F428ADB2,My Own Worst Enemy,Lit,"rock, alternative, alternative_rock, punk, punk_rock, 90s, pop_rock",Rock,1.0,"Lit rock, alternative, alternative_rock, punk, punk_rock, 90s, pop_rock Rock"
